player_name,Pos,Age,Tm,G,salary,WAR,PPG,PPM,APG,APM,RPG,RPM,OPG,DPG,SPG,BPG,TPG,FPG,eFGp,PER,TSp,OWS,DWS,WS,WSpG
Bruno Caboclo,SF,23,MEM,34,705361,0.54,8.294,0.352,1.471,0.062,4.647,0.198,1.235,3.412,0.412,0.971,1.118,2.382,0.533,12.4,0.571,0.6,0.9,1.5,0.09
Bryn Forbes,SG,25,SAS,82,3125000,1.35,11.793,0.422,2.134,0.076,2.915,0.104,0.22,2.695,0.549,0.049,0.976,1.939,0.568,12,0.586,2.5,1.3,3.8,0.079
Buddy Hield,SG,26,SAC,82,3833760,7.290000000000001,20.671,0.648,2.5,0.078,5.024,0.158,1.293,3.732,0.707,0.402,1.78,2.463,0.56,17.5,0.587,4.3,1.6,5.9,0.108
Cameron Payne,PG,24,TOT,40,3440356,-0.54,6.25,0.351,2.65,0.149,1.8,0.101,0.325,1.475,0.7,0.225,1.125,1.6,0.487,11.5,0.519,0.1,0.3,0.5,0.031
Caris LeVert,SF,24,BRK,40,1702800,1.62,13.675,0.515,3.9,0.147,3.775,0.142,0.875,2.9,1.05,0.35,1.725,1.925,0.478,14.9,0.509,0.5,1.2,1.7,0.077
Cedi Osman,SF,23,CLE,76,2775000,-2.16,13.039,0.405,2.566,0.08,4.697,0.146,0.592,4.105,0.789,0.145,1.5,2.566,0.504,11.5,0.536,1.2,0.2,1.5,0.029
Chandler Hutchison,SF,22,CHI,44,1991520,-1.08,5.205,0.256,0.773,0.038,4.205,0.207,0.705,3.5,0.523,0.136,0.568,1.341,0.493,8.8,0.507,0,0.6,0.6,0.03
Channing Frye,C,35,CLE,36,2393887,-0.27,3.583,0.378,0.556,0.059,1.444,0.152,0.111,1.333,0.167,0.139,0.361,1.222,0.504,8.9,0.524,0.1,0,0.1,0.016
Chasson Randle,PG,25,WAS,49,975824,-1.08,5.531,0.365,1.98,0.131,1.143,0.075,0.204,0.939,0.51,0.061,0.878,1.857,0.525,9.9,0.555,0.4,0.2,0.6,0.041
Cheick Diallo,PF,22,NOP,64,1544951,0.54,6.047,0.432,0.516,0.037,5.188,0.371,1.172,4.016,0.453,0.516,0.766,1.766,0.622,17.5,0.644,1.4,1.2,2.6,0.14
Chimezie Metu,PF,21,SAS,29,838464,-0.54,1.759,0.352,0.448,0.09,1.241,0.248,0.31,0.931,0.207,0.069,0.517,0.483,0.328,6.4,0.389,-0.5,0.2,-0.3,-0.099
Chris Paul,PG,33,HOU,58,35654150,7.56,15.621,0.488,8.155,0.255,4.569,0.143,0.621,3.948,1.966,0.31,2.621,2.517,0.508,19.7,0.56,4.4,2.2,6.6,0.172
CJ McCollum,SG,27,POR,70,25759766,4.86,20.971,0.618,2.957,0.087,4.029,0.119,0.886,3.143,0.786,0.4,1.514,2.457,0.527,17,0.553,4,1.7,5.6,0.114
CJ Miles,SF,31,TOT,53,8333333,-0.54,6.396,0.396,0.679,0.042,1.792,0.111,0.245,1.547,0.491,0.283,0.566,1.491,0.468,9,0.504,-0.2,0.9,0.7,0.041
Clint Capela,C,24,HOU,67,15793104,7.56,16.627,0.495,1.433,0.043,12.657,0.377,4.448,8.209,0.657,1.522,1.403,2.507,0.648,23.8,0.658,7.8,3,10.8,0.23
Cody Zeller,C,26,CHO,49,13528090,1.89,10.143,0.4,2.082,0.082,6.796,0.268,2.245,4.551,0.776,0.837,1.265,3.347,0.559,17.2,0.611,2.6,1.2,3.9,0.15
Collin Sexton,PG,20,CLE,82,4073760,-4.86,16.72,0.526,2.963,0.093,2.878,0.091,0.695,2.183,0.537,0.073,2.256,2.268,0.48,12,0.52,-0.1,-0.5,-0.6,-0.011
Corey Brewer,SF,32,TOT,31,2559925,0.27,4.871,0.307,1.258,0.079,2.452,0.154,0.839,1.613,1.032,0.226,0.613,2.032,0.488,11.6,0.532,0.4,0.6,1,0.095
Cory Joseph,PG,27,IND,82,7945000,2.43,6.549,0.26,3.915,0.156,3.402,0.135,0.476,2.927,1.146,0.268,0.976,1.598,0.463,11,0.474,0.5,2.9,3.5,0.081
Courtney Lee,SG,33,TOT,34,12253780,-0.27,4,0.318,1.088,0.086,1.588,0.126,0.265,1.324,0.618,0.088,0.412,0.941,0.473,10.3,0.492,0.1,0.4,0.4,0.05
Cristiano Felicio,C,26,CHI,60,8470980,-1.08,4,0.322,0.617,0.05,3.633,0.292,1.317,2.317,0.183,0.117,0.55,1.15,0.531,13.4,0.568,0.9,0.4,1.4,0.088
D'Angelo Russell,PG,22,BRK,81,7019698,9.18,21.136,0.699,6.951,0.23,3.889,0.129,0.654,3.235,1.235,0.247,3.123,1.741,0.512,19.4,0.533,2.4,2.6,5,0.097
Damian Lillard,PG,28,POR,80,27977689,16.200000000000003,25.837,0.728,6.888,0.194,4.638,0.131,0.85,3.788,1.1,0.425,2.65,1.85,0.522,23.7,0.588,9.7,2.4,12.1,0.205
Damion Lee,SG,26,GSW,32,77250,0,4.938,0.421,0.406,0.035,2,0.171,0.25,1.75,0.406,0,0.344,0.875,0.547,11.9,0.578,0.3,0.4,0.7,0.09
Damyean Dotson,SG,24,NYK,73,1378242,-0.81,10.671,0.389,1.849,0.067,3.589,0.131,0.466,3.123,0.795,0.137,0.973,1.849,0.506,10.8,0.526,0.7,0.9,1.5,0.037
Daniel Theis,C,26,BOS,66,1378242,1.35,5.667,0.412,1.03,0.075,3.409,0.248,1.318,2.091,0.318,0.636,0.5,2.439,0.598,17,0.624,2.3,1.3,3.5,0.188
Danilo Gallinari,SF,30,LAC,68,21587579,8.91,19.794,0.654,2.618,0.086,6.132,0.203,0.794,5.338,0.721,0.338,1.456,1.897,0.554,21,0.633,6.4,1.8,8.2,0.191
Danny Green,SG,31,TOR,80,10000000,5.940000000000001,10.262,0.37,1.575,0.057,3.962,0.143,0.75,3.212,0.912,0.662,0.938,2.138,0.622,13,0.632,3,2.9,5.9,0.128
Dante Cunningham,PF,31,SAS,64,2487000,0.81,3.031,0.209,0.781,0.054,2.938,0.203,0.75,2.188,0.422,0.203,0.344,1.109,0.57,10.2,0.585,1,0.9,1.9,0.097
Dante Exum,PG,23,UTA,42,10600000,0,6.857,0.434,2.619,0.166,1.619,0.102,0.381,1.238,0.333,0.119,1.238,1.643,0.456,11.2,0.516,0.2,0.7,1,0.069
Danuel House,SF,25,HOU,39,247827,1.08,9.385,0.374,1.026,0.041,3.59,0.143,0.641,2.949,0.538,0.282,0.897,2.051,0.615,12.2,0.646,1.6,0.7,2.3,0.113
Dario Saric,PF,24,TOT,81,2526840,0.54,10.593,0.424,1.568,0.063,5.642,0.226,1.556,4.086,0.556,0.111,1.198,2.247,0.522,13.1,0.563,2.3,1.2,3.5,0.084
Darius Miller,SF,28,NOP,69,2205000,-1.08,8.217,0.323,2.116,0.083,1.855,0.073,0.203,1.652,0.58,0.333,0.855,2.391,0.528,8.4,0.55,1.1,0.6,1.6,0.045
